time,id,name,x,y,z,h,p,r,speed,wheel_angle,wheel_rot
3.350,0,Ego,476.997,-45.922,0.000,3.747,0.000,0.000,11.111,-0.003,5.818
3.350,1,Agent1,488.807,-39.553,0.000,3.747,0.000,0.000,11.111,-0.000,0.858
3.400,0,Ego,476.541,-46.239,0.000,3.747,0.000,0.000,11.111,-0.000,1.122
3.400,1,Agent1,488.350,-39.869,0.000,3.747,0.000,0.000,11.111,0.003,2.446
3.450,0,Ego,476.085,-46.554,0.000,3.747,0.000,0.000,11.111,-0.003,2.710
3.450,1,Agent1,487.893,-40.185,0.000,3.748,0.000,0.000,11.111,0.007,4.033
3.500,0,Ego,475.628,-46.870,0.000,3.747,0.000,0.000,11.111,-0.000,4.297
3.500,1,Agent1,487.436,-40.502,0.000,3.748,0.000,0.000,11.111,-0.004,5.620
3.550,0,Ego,475.173,-47.185,0.000,3.746,0.000,0.000,11.111,-0.004,5.884
3.550,1,Agent1,486.979,-40.818,0.000,3.748,0.000,0.000,11.111,0.003,0.924
3.600,0,Ego,474.717,-47.499,0.000,3.745,0.000,0.000,11.111,-0.008,1.188
3.600,1,Agent1,486.523,-41.135,0.000,3.748,0.000,0.000,11.111,0.000,2.512
3.650,0,Ego,474.260,-47.815,0.000,3.745,0.000,0.000,11.111,0.004,2.776
3.650,1,Agent1,486.066,-41.452,0.000,3.748,0.000,0.000,11.111,0.002,4.099
3.700,0,Ego,473.804,-48.129,0.000,3.743,0.000,0.000,11.111,-0.011,4.363
3.700,1,Agent1,485.610,-41.768,0.000,3.748,0.000,0.000,11.111,-0.000,5.686
3.750,0,Ego,473.346,-48.443,0.000,3.744,0.000,0.000,11.111,0.001,5.950
3.750,1,Agent1,485.154,-42.085,0.000,3.749,0.000,0.000,11.111,0.001,0.990
3.800,0,Ego,472.888,-48.758,0.000,3.744,0.000,0.000,11.111,0.001,1.254
3.800,1,Agent1,484.697,-42.402,0.000,3.749,0.000,0.000,11.111,-0.000,2.578
3.850,0,Ego,472.430,-49.072,0.000,3.744,0.000,0.000,11.111,0.001,2.842
3.850,1,Agent1,484.241,-42.719,0.000,3.749,0.000,0.000,11.111,0.001,4.165
3.900,0,Ego,471.973,-49.387,0.000,3.744,0.000,0.000,11.111,0.001,4.429
3.900,1,Agent1,483.785,-43.036,0.000,3.749,0.000,0.000,11.111,0.002,5.752
3.950,0,Ego,471.515,-49.702,0.000,3.744,0.000,0.000,11.111,0.001,6.016
3.950,1,Agent1,483.329,-43.353,0.000,3.749,0.000,0.000,11.111,-0.002,1.056
4.000,0,Ego,471.057,-50.017,0.000,3.744,0.000,0.000,11.111,0.001,1.320
4.000,1,Agent1,482.873,-43.671,0.000,3.749,0.000,0.000,11.111,-0.000,2.644
4.050,0,Ego,470.599,-50.332,0.000,3.744,0.000,0.000,11.111,0.001,2.908
4.050,1,Agent1,482.416,-43.988,0.000,3.749,0.000,0.000,11.111,-0.000,4.231
4.100,0,Ego,470.142,-50.646,0.000,3.744,0.000,0.000,11.111,0.000,4.495
4.100,1,Agent1,481.960,-44.305,0.000,3.749,0.000,0.000,11.111,-0.001,5.818
4.150,0,Ego,469.684,-50.961,0.000,3.744,0.000,0.000,11.111,0.000,6.082
4.150,1,Agent1,481.504,-44.622,0.000,3.749,0.000,0.000,11.111,-0.000,1.122
4.200,0,Ego,469.226,-51.276,0.000,3.744,0.000,0.000,11.111,0.000,1.386
4.200,1,Agent1,481.048,-44.938,0.000,3.749,0.000,0.000,11.111,-0.001,2.710
4.250,0,Ego,468.769,-51.591,0.000,3.745,0.000,0.000,11.111,0.001,2.974
4.250,1,Agent1,480.591,-45.255,0.000,3.749,0.000,0.000,11.111,0.000,4.297
4.300,0,Ego,468.311,-51.907,0.000,3.746,0.000,0.000,11.111,0.007,4.561
4.300,1,Agent1,480.135,-45.572,0.000,3.748,0.000,0.000,11.111,-0.001,5.884
4.350,0,Ego,467.854,-52.223,0.000,3.747,0.000,0.000,11.111,0.007,6.148
4.350,1,Agent1,479.679,-45.889,0.000,3.748,0.000,0.000,11.111,-0.003,1.188
4.400,0,Ego,467.397,-52.539,0.000,3.748,0.000,0.000,11.111,0.007,1.452
4.400,1,Agent1,479.222,-46.206,0.000,3.748,0.000,0.000,11.111,0.001,2.776
4.450,0,Ego,466.941,-52.856,0.000,3.749,0.000,0.000,11.111,0.007,3.040
4.450,1,Agent1,478.766,-46.522,0.000,3.748,0.000,0.000,11.111,-0.002,4.363
4.500,0,Ego,466.486,-53.173,0.000,3.750,0.000,0.000,11.111,0.004,4.627
4.500,1,Agent1,478.309,-46.839,0.000,3.748,0.000,0.000,11.111,-0.000,5.950
4.550,0,Ego,466.030,-53.490,0.000,3.750,0.000,0.000,11.111,0.000,6.214
4.550,1,Agent1,477.852,-47.155,0.000,3.747,0.000,0.000,11.111,-0.003,1.254
4.600,0,Ego,465.574,-53.808,0.000,3.750,0.000,0.000,11.111,0.000,1.518
4.600,1,Agent1,477.396,-47.471,0.000,3.747,0.000,0.000,11.111,-0.000,2.842
4.650,0,Ego,465.118,-54.125,0.000,3.750,0.000,0.000,11.111,0.000,3.106
4.650,1,Agent1,476.939,-47.787,0.000,3.747,0.000,0.000,11.111,-0.003,4.429
4.700,0,Ego,464.662,-54.443,0.000,3.750,0.000,0.000,11.111,0.000,4.693
4.700,1,Agent1,476.482,-48.103,0.000,3.747,0.000,0.000,11.111,-0.000,6.016
4.750,0,Ego,464.206,-54.760,0.000,3.750,0.000,0.000,11.111,0.000,6.280
4.750,1,Agent1,476.025,-48.419,0.000,3.746,0.000,0.000,11.111,-0.004,1.320
4.800,0,Ego,463.750,-55.078,0.000,3.750,0.000,0.000,11.111,0.000,1.585
4.800,1,Agent1,475.568,-48.735,0.000,3.745,0.000,0.000,11.111,-0.008,2.908
4.850,0,Ego,463.295,-55.395,0.000,3.750,0.000,0.000,11.111,-0.000,3.172
4.850,1,Agent1,475.111,-49.050,0.000,3.745,0.000,0.000,11.111,0.004,4.495
4.900,0,Ego,462.839,-55.713,0.000,3.750,0.000,0.000,11.111,-0.000,4.759
4.900,1,Agent1,474.653,-49.365,0.000,3.743,0.000,0.000,11.111,-0.011,6.082
4.950,0,Ego,462.383,-56.031,0.000,3.750,0.000,0.000,11.111,-0.000,0.063
4.950,1,Agent1,474.195,-49.680,0.000,3.744,0.000,0.000,11.111,0.001,1.386
5.000,0,Ego,461.927,-56.348,0.000,3.750,0.000,0.000,11.111,-0.000,1.651
5.000,1,Agent1,473.737,-49.994,0.000,3.744,0.000,0.000,11.111,0.001,2.974
5.050,0,Ego,461.471,-56.666,0.000,3.750,0.000,0.000,11.111,-0.000,3.238
5.050,1,Agent1,473.279,-50.309,0.000,3.744,0.000,0.000,11.111,0.001,4.561
5.100,0,Ego,461.015,-56.983,0.000,3.750,0.000,0.000,11.111,-0.000,4.825
5.100,1,Agent1,472.822,-50.624,0.000,3.744,0.000,0.000,11.111,0.001,6.148
5.150,0,Ego,460.559,-57.301,0.000,3.750,0.000,0.000,11.111,-0.000,0.129
5.150,1,Agent1,472.364,-50.938,0.000,3.744,0.000,0.000,11.111,0.001,1.452
5.200,0,Ego,460.103,-57.618,0.000,3.750,0.000,0.000,11.111,-0.000,1.717
5.200,1,Agent1,471.906,-51.253,0.000,3.744,0.000,0.000,11.111,0.001,3.040
5.250,0,Ego,459.647,-57.935,0.000,3.749,0.000,0.000,11.111,-0.007,3.304
5.250,1,Agent1,471.448,-51.568,0.000,3.744,0.000,0.000,11.111,0.001,4.627
5.300,0,Ego,459.191,-58.252,0.000,3.747,0.000,0.000,11.111,-0.007,4.891
5.300,1,Agent1,470.991,-51.883,0.000,3.744,0.000,0.000,11.111,0.000,6.214
5.350,0,Ego,458.733,-58.569,0.000,3.747,0.000,0.000,11.111,-0.003,0.195
5.350,1,Agent1,470.533,-52.198,0.000,3.744,0.000,0.000,11.111,0.000,1.518
5.400,0,Ego,458.276,-58.885,0.000,3.747,0.000,0.000,11.111,-0.000,1.783
5.400,1,Agent1,470.075,-52.513,0.000,3.744,0.000,0.000,11.111,0.000,3.106
5.450,0,Ego,457.819,-59.201,0.000,3.747,0.000,0.000,11.111,-0.000,3.370
5.450,1,Agent1,469.618,-52.828,0.000,3.745,0.000,0.000,11.111,0.001,4.693
5.500,0,Ego,457.363,-59.517,0.000,3.747,0.000,0.000,11.111,-0.000,4.957
5.500,1,Agent1,469.160,-53.143,0.000,3.746,0.000,0.000,11.111,0.007,6.280
5.550,0,Ego,456.906,-59.833,0.000,3.747,0.000,0.000,11.111,-0.000,0.261
5.550,1,Agent1,468.703,-53.459,0.000,3.747,0.000,0.000,11.111,0.007,1.585
5.600,0,Ego,456.449,-60.149,0.000,3.747,0.000,0.000,11.111,-0.001,1.849
5.600,1,Agent1,468.247,-53.775,0.000,3.748,0.000,0.000,11.111,0.007,3.172
5.650,0,Ego,455.992,-60.465,0.000,3.746,0.000,0.000,11.111,-0.001,3.436
5.650,1,Agent1,467.790,-54.092,0.000,3.749,0.000,0.000,11.111,0.007,4.759
5.700,0,Ego,455.535,-60.781,0.000,3.746,0.000,0.000,11.111,-0.001,5.023
5.700,1,Agent1,467.334,-54.410,0.000,3.750,0.000,0.000,11.111,0.004,0.063
5.750,0,Ego,455.078,-61.096,0.000,3.746,0.000,0.000,11.111,-0.001,0.327
5.750,1,Agent1,466.879,-54.727,0.000,3.750,0.000,0.000,11.111,0.000,1.651
5.800,0,Ego,454.621,-61.412,0.000,3.746,0.000,0.000,11.111,-0.001,1.915
5.800,1,Agent1,466.423,-55.045,0.000,3.750,0.000,0.000,11.111,0.000,3.238
5.850,0,Ego,454.163,-61.728,0.000,3.746,0.000,0.000,11.111,-0.001,3.502
5.850,1,Agent1,465.967,-55.362,0.000,3.750,0.000,0.000,11.111,0.000,4.825
5.900,0,Ego,453.706,-62.044,0.000,3.746,0.000,0.000,11.111,-0.001,5.089
5.900,1,Agent1,465.511,-55.680,0.000,3.750,0.000,0.000,11.111,0.000,0.129
5.950,0,Ego,453.249,-62.359,0.000,3.746,0.000,0.000,11.111,-0.000,0.393
5.950,1,Agent1,465.055,-55.997,0.000,3.750,0.000,0.000,11.111,0.000,1.717
6.000,0,Ego,452.792,-62.675,0.000,3.746,0.000,0.000,11.111,0.000,1.981
6.000,1,Agent1,464.599,-56.315,0.000,3.750,0.000,0.000,11.111,0.000,3.304
6.050,0,Ego,452.333,-62.989,0.000,3.742,0.000,0.000,11.111,-0.023,3.568
6.050,1,Agent1,464.143,-56.632,0.000,3.750,0.000,0.000,11.111,-0.000,4.891
6.100,0,Ego,451.875,-63.303,0.000,3.745,0.000,0.000,11.111,0.002,5.155
6.100,1,Agent1,463.687,-56.950,0.000,3.750,0.000,0.000,11.111,-0.000,0.195
6.150,0,Ego,451.418,-63.618,0.000,3.745,0.000,0.000,11.111,-0.000,0.459
6.150,1,Agent1,463.232,-57.267,0.000,3.750,0.000,0.000,11.111,-0.000,1.783
6.200,0,Ego,450.960,-63.933,0.000,3.745,0.000,0.000,11.111,0.000,2.047
6.200,1,Agent1,462.776,-57.585,0.000,3.750,0.000,0.000,11.111,-0.000,3.370
6.250,0,Ego,450.503,-64.248,0.000,3.745,0.000,0.000,11.111,0.000,3.634
6.250,1,Agent1,462.320,-57.902,0.000,3.750,0.000,0.000,11.111,-0.000,4.957
6.300,0,Ego,450.045,-64.563,0.000,3.745,0.000,0.000,11.111,-0.000,5.221
6.300,1,Agent1,461.864,-58.220,0.000,3.750,0.000,0.000,11.111,-0.000,0.261
6.350,0,Ego,449.588,-64.879,0.000,3.745,0.000,0.000,11.111,-0.000,0.525
6.350,1,Agent1,461.408,-58.537,0.000,3.750,0.000,0.000,11.111,-0.000,1.849
6.400,0,Ego,449.130,-65.194,0.000,3.746,0.000,0.000,11.111,0.004,2.113
6.400,1,Agent1,460.952,-58.855,0.000,3.750,0.000,0.000,11.111,-0.001,3.436
6.450,0,Ego,448.673,-65.509,0.000,3.746,0.000,0.000,11.111,0.000,3.700
6.450,1,Agent1,460.496,-59.172,0.000,3.749,0.000,0.000,11.111,-0.007,5.023
6.500,0,Ego,448.216,-65.825,0.000,3.746,0.000,0.000,11.111,0.000,5.287
6.500,1,Agent1,460.039,-59.489,0.000,3.747,0.000,0.000,11.111,-0.007,0.327
6.550,0,Ego,447.758,-66.140,0.000,3.746,0.000,0.000,11.111,-0.000,0.591
6.550,1,Agent1,459.583,-59.805,0.000,3.747,0.000,0.000,11.111,-0.003,1.915
6.600,0,Ego,447.301,-66.456,0.000,3.746,0.000,0.000,11.111,0.000,2.179
6.600,1,Agent1,459.126,-60.121,0.000,3.747,0.000,0.000,11.111,-0.000,3.502
6.650,0,Ego,446.844,-66.771,0.000,3.746,0.000,0.000,11.111,-0.000,3.766
6.650,1,Agent1,458.669,-60.437,0.000,3.747,0.000,0.000,11.111,-0.000,5.089
