min_ttc,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_Offset,Agent1_1_TA_Period,Agent1_1_TA_Times,Ego_Speed
0.18634562254143835,15.0,40.0,10.0,-0.4,0.6,1.0,40.0
0.1932792546866039,15.0,40.0,10.0,-0.4,0.6,2.0,40.0
0.1932792546866039,15.0,40.0,10.0,-0.4,0.6,3.0,40.0
0.14835457101856542,15.0,40.0,10.0,-0.4,1.0,1.0,40.0
0.14835457101856542,15.0,40.0,10.0,-0.4,1.0,2.0,40.0
0.14835457101856542,15.0,40.0,10.0,-0.4,1.0,3.0,40.0
0.20225801695522616,15.0,40.0,10.0,-0.2,0.2,1.0,40.0
0.1754912657329916,15.0,40.0,10.0,-0.2,0.2,2.0,40.0
0.1754912657329916,15.0,40.0,10.0,-0.2,0.2,3.0,40.0
0.19437991584471995,15.0,40.0,10.0,-0.2,0.6,1.0,40.0
0.19797176073699854,15.0,40.0,10.0,-0.2,0.6,2.0,40.0
0.19797176073699854,15.0,40.0,10.0,-0.2,0.6,3.0,40.0
0.175302087281021,15.0,40.0,10.0,-0.2,1.0,1.0,40.0
0.175302087281021,15.0,40.0,10.0,-0.2,1.0,2.0,40.0
0.175302087281021,15.0,40.0,10.0,-0.2,1.0,3.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,0.2,1.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,0.2,2.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,0.2,3.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,0.6,1.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,0.6,2.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,0.6,3.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,1.0,1.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,1.0,2.0,40.0
0.2022497857694956,15.0,40.0,10.0,-0.0,1.0,3.0,40.0
0.20225039540039239,15.0,40.0,10.0,0.2,0.2,1.0,40.0
0.22899982833746646,15.0,40.0,10.0,0.2,0.2,2.0,40.0
0.22899982833746646,15.0,40.0,10.0,0.2,0.2,3.0,40.0
0.20993051297660484,15.0,40.0,10.0,0.2,0.6,1.0,40.0
0.20607375058610664,15.0,40.0,10.0,0.2,0.6,2.0,40.0
0.20607375058610664,15.0,40.0,10.0,0.2,0.6,3.0,40.0
0.22919732454331665,15.0,40.0,10.0,0.2,1.0,1.0,40.0
0.22919732454331665,15.0,40.0,10.0,0.2,1.0,2.0,40.0
0.22919732454331665,15.0,40.0,10.0,0.2,1.0,3.0,40.0
0.2022433636548438,15.0,40.0,10.0,0.4,0.2,1.0,40.0
0.2557151707866101,15.0,40.0,10.0,0.4,0.2,2.0,40.0
